ID,Reported_On,Additional_Reporting,Retrieve_from_1,Retrieve_from_2,Retrieve_from_3,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Title,Publication_Date,Entry_Date,Country,Primary_Language,Secondary_Language,Main_Narrative,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Description,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder
1,https://www.politifact.com/factchecks/2020/jan/23/facebook-posts/there-outbreak-china-wuhan-coronavirus-there-not-v/,,,,,0,,,,,"Says a coronavirus patent expired just as there is a ""sudden outbreak"" and, despite ""media fear-mongering,"" there is already a vaccine available.",23-Jan-20,16-Mar-20,US ,English,,Origin of the virus,"Outbreak coincides with a patent expiration, and there is already a vaccine available.",0,False Hope,"Conservative Facebook group claiming the outbreak came at a useful time, when a patent for a vaccine expired.",Individual actor,General public,Facebook,Conspiracy,"Coronavirus, patent, SARS, vaccine",Using an expiration for a patent associated with the Coronavirus that causes SARS to push that there there is a vaccine available.,Jan
2,https://www.buzzfeednews.com/article/ryanhatesthis/qanon-supporters-and-anti-vaxxers-are-spreading-a-hoax-that,,,,,1,https://img.buzzfeed.com/buzzfeed-static/static/2020-01/23/22/asset/f5df94f5f42d/sub-buzz-206-1579818140-1.png?downsize=700%3A%2A&output-quality=auto&output-format=auto,,,,QAnon Supporters And Anti-Vaxxers Are Spreading A Hoax That Bill Gates Created The Coronavirus,23-Jan-20,16-Mar-20,US ,English,,Origin of the virus,COVID-19 was created by Bill Gates.,0,Undermine target country institutions ,"QAnon undermining Bill Gates (and the Foundation), claiming he created and actively spread the virus.",Individual actor,QAnon,"Facebook, Twitter, Youtube",Conspiracy,"Coronavirus, QAnon, anti-vax","Qanon Youtuber suggesting COVID-19 is a ""planned, new fad disease"", supported by anti-vax movement. ",Jan
3,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china,https://snjpn.net/archives/177104,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china,,,1,,,,,???????????????????????????????????????USJ?????????????,23-Jan-20,17-Apr-20,Japan,Japanese,,COVID-19 status of individuals,Chinese tourists with detected cough and fever at Kansai airport escaped before being taken to the hospital to go sightseeing in Kyoto and Universal Studios ,0,Fear,Stoke fear that sick tourists may be out sightseeing,Individual actor,General public,"Weibo, Twitter",False reporting,"Coronavirus, Japan, China, tourists, USJ, Kyoto, Kansai airport","Screenshots of a weibo post were circulated on Twitter, saying Chinese tourists who were detected of cough and fever at Kansai airport escaped before being taken to the hospital so they could sightsee in Kyoto and Universal Studios Japan",Fumika
4,https://www.thepaper.cn/newsDetail_forward_5610983,,,,,0,,,,,????????????????????,23-Jan-20,6-Apr-20,China,Mandarin,,Nature of the virus,Famous anchor Bai Yansong spread rumors that drinking alcohols with high concentrations will cure the coronavirus,0,Help,Spreads claims that drinking the alcohol with high concentrations will solve the coronavirus,Individual actor,Bai Yansong,CCTV Channel News 1+1,Fake remedy,"Coronavirus, Bai yansong, anchor, alcohol",Famous anchor Bai yangsong spread rumors that drinking alcohol with high concentrations will cure the coronavirus,Anne
5,https://m.weibo.cn/detail/4463991587407708,,https://m.weibo.cn/detail/4463991587407708,,,1,https://m.weibo.cn/detail/4463991587407708#&gid=1&pid=1,,,,?????????????,23-Jan-20,13-Apr-20,China,Mandarin,,Nature of the virus,"Claims only kids get the coronavirus and old people do not, but the Guangzhou Daily News refuted the claims",1,Fear,Spreads false claims that the coronavirus only targets young kids,Media,"General public, Guangzhou Daily News","Guangzhou Daily News, Weibo",False reporting,"Coronavirus, old people, kids, affect, Guangzhou Daily News","Rumors claimed the coronavirus only affects kids but not old people, but the Guangzhou Daily News refuted the claims",Anne
6,https://m.weibo.cn/detail/4463991587407708,,https://m.weibo.cn/detail/4463991587407708,,,1,https://m.weibo.cn/detail/4463991587407708#&gid=1&pid=2,,,,????????????,23-Jan-20,13-Apr-20,China,Mandarin,,False cures and preventative measures,Claims smoked vinegar can prevent the coronavirus,1,Fear,Spreads false claims that the smoked vinegar can prevent the coronavirus,Media,"General public, Guangzhou Daily News","Guangzhou Daily News, Weibo",False reporting,"Coronavirus, smoked vinegar, prevent, Guangzhou Daily News","Rumors claimed smoked vinegar can prevent the coronavirus, but the Guangzhou Daily News refuted the claims",Anne
7,https://m.weibo.cn/detail/4463991587407708,,https://m.weibo.cn/detail/4463991587407708,,,1,https://m.weibo.cn/detail/4463991587407708#&gid=1&pid=5,,,,???????,23-Jan-20,13-Apr-20,China,Mandarin,,False cures and preventative measures,Claims the Guangzhou province has a preventation medicine formula for the coronavirus,1,Undermine target country institutions ,Spreads false claims that the Guangzhou province hospital has a preventation medicine formula for the coronavirus,Media,"General public, Guangzhou Daily News","Guangzhou Daily News, Weibo",False reporting,"Coronavirus, medicine, prevention, Guangzhou province hospital, formula, Guangzhou Daily News","Rumors claimed the Guangzhou province hospital has a prevention medicine formula for the coronavirus, but Guangzhou Daily News refuted the claims",Anne
8,https://m.weibo.cn/detail/4463991587407708,,https://m.weibo.cn/detail/4463991587407708,,,1,https://m.weibo.cn/detail/4463991587407708#&gid=1&pid=9,,,,?????????????,23-Jan-20,13-Apr-20,China,Mandarin,,False cures and preventative measures,Claims turning on the heater and the air condition can kill the coronavirus,1,Help,Spreads false claims that turning on the heater or the air conditioning can kill the coronavirus,Media,"General public, Guangzhou Daily News","Guangzhou Daily News, Weibo",False reporting,"Coronavirus, heater, air conditioning, kill, Guangzhou Daily News","Rumors claimed turning on the heater or the air conditioner can kill the coronavirus, but Guangzhou Daily News refuted the claims",Anne
9,https://m.weibo.cn/detail/4464033279702648,,,,,1,https://m.weibo.cn/detail/4464033279702648,,,,????????????????????????……?????????????????????????????????????,23-Jan-20,14-Apr-20,China,Mandarin,,False cures and preventative measures,Rumors claimed people stopped eating bananas to prevent the coronavirus,1,Fear,Scares people not to eat bananas to prevent the coronavirus,Individual actor,Weibo user @kelly??K,Weibo,Fake remedy,"Coronavirus, bananas, prevent, stopped, eating",A twitter user claimed people stopped eating bananas to prevent the coronavirus,Anne
10,https://m.weibo.cn/detail/4464720167501555,,,,,1,https://m.weibo.cn/detail/4464720167501555,,,,???????????4-4:30??? ?????????????,25-Jan-20,14-Apr-20,China,Mandarin,,Emergency responses,Claims people should not leave their houses between 4-4:30 because the government wanted to disinfect the the airplanes,1,Undermine target country institutions ,Scares people not to leave their house between 4-4:30 ,Individual actor,Weibo user @?????????,Weibo ,Conspiracy,"Coronavirus, government, disinfect, airplane",False rumor claimed people should not leave their houses in 4-4:30 beacuse the government wanted to disinfect the airplanes ,Anne
11,https://m.weibo.cn/status/4464557743440434?sudaref=m.weibo.cn&display=0&retcode=6102,,,,,1,https://m.weibo.cn/status/4464557743440434?sudaref=m.weibo.cn&display=0&retcode=6102,,,,???????????????????????????????????????????????????????????,25-Jan-20,14-Apr-20,China,Mandarin,,Emergency responses,The Twitter user's father claims the Chinese government will create a hospital in six days and dump people inside so they can live and die on their own ,1,Undermine target country institutions ,Undermines the authority of the Chinese government in dealing with the thousands of coronavirus cases,Individual actor,The dad of the weibo user @??????????,Weibo,Conspiracy,"Coronavirus, hospitals, dad, Chinese government, six days, live, die, on their own",The Twitter user's dad said the Chinese government will create a hospital in six days and dumple people inside so they can live and die on their own,Anne
12,https://m.weibo.cn/detail/4464910282943594,,,,,1,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%9C%80%E6%96%B0%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E8%B0%A3%E8%A8%80%E6%B1%87%E6%80%BB%23&extparam=%23%E6%9C%80%E6%96%B0%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E8%B0%A3%E8%A8%80%E6%B1%87%E6%80%BB%23&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E5%BE%AE%E5%8D%9A%E8%BE%9F%E8%B0%A3%23&featurecode=newtit&sudaref=www.google.com&display=0&retcode=6102#&gid=1&pid=1,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%9C%80%E6%96%B0%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E8%B0%A3%E8%A8%80%E6%B1%87%E6%80%BB%23&extparam=%23%E6%9C%80%E6%96%B0%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E8%B0%A3%E8%A8%80%E6%B1%87%E6%80%BB%23&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E5%BE%AE%E5%8D%9A%E8%BE%9F%E8%B0%A3%23&featurecode=newtit&sudaref=www.google.com&display=0&retcode=6102#&gid=1&pid=2,,,???????????????????????????????????????????,26-Jan-20,14-Apr-20,China,Mandarin,,Other,Claims oil and rice are running out in Chongqing stores,1,Profit,Forces people to buy more oil and food before it runs out in Chongqing stores,Individual actor,Wechat and Weibo user,Wechat and Weibo @?????,Conspiracy,"Coronavirus, oil, food, run out, Chongqing",A Weibo user claimed that a Wechat user spread rumors claiming food and oil ran out in Chongqing stores,Anne
13,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-2,,,,,1,,,,,?????????????????????15????????????????…,27-Jan-20,17-Apr-20,"China, Japan",Japanese,Mandarin,Nature of the virus,Coronavirus is the deadliest sickness in human history with death rate of the virus is 15% and over 83% of global population will be infected ,0,Fear,Make population fearful of high death and infection rate,Individual actor,General public,"Weibo, Twitter",False reporting,"Coronavirus, Japan, China, death rate, infection rate",Rumors that coronavirus is deadliest in human history with 15% death and 83% infection rate,Fumika
14,https://www.boomlive.in/health/hoax-alert-viral-emergency-notification-on-coronavirus-is-fake-6682,,https://www.boomlive.in/health/hoax-alert-viral-emergency-notification-on-coronavirus-is-fake-6682?infinitescroll=1,,,0,,,,,Hoax Alert: Viral 'Emergency Notification' On Coronavirus Is Fake,28-Jan-20,16-Mar-20,India,English,,Emergency responses,Chain message of Indian Health Ministry responses. ,1,Fear,Chain message spread to stoke fear among Indian WhatsApp users.,Individual actor,General public,"Facebook, WhatsApp",False reporting,"Coronavirus, India, travel advisory","WhatsApp chain message circulating among Indian users, as a false emergency notification from the health ministry.",Jan
15,https://www.politifact.com/factchecks/2020/jan/28/blog-posting/websites-spin-conspiracy-theory-about-coronavirus-/,,,,,0,https://web.archive.org/web/20200127163950/https://greatgameindia.com/coronavirus-bioweapon/,,,,"Says China ""stole Coronavirus from Canada and weaponized it into a Bioweapon.""",28-Jan-20,16-Mar-20,US,English,,Weaponization or design,"China stole the virus from a Canadian lab, and are using it as a bioweapon.",0,Politics,"GreatGameIndia, a ""news website"" spreading false information about a CPC plot, to weaken and discredit.",Individual actor,General public,Website,Conspiracy,"Coronavirus, Chinese agents, Winnipeg, Canada",COVID-19 smuggled by Chinese agents from a Canadian lab. ,Jan
16,https://www.vice.com/en_us/article/qjdvvd/a-disturbing-number-of-people-think-coronavirus-is-related-to-corona-beer,,,,,0,,,,,A Disturbing Number of People Think Coronavirus Is Related to Corona Beer,28-Jan-20,16-Mar-20,US ,English,,Nature of the virus,COVID-19 associated with Corona beer.,0,Other,Efforts to create a link between COVID-19 and Corona beer.,Individual actor,General public,Google Trends,Conspiracy,"Coronavirus, Corona beer",COVID-19 related to Corona Beer. ,Jan
17,https://www.thedailybeast.com/qanon-conspiracy-theorists-magic-cure-for-coronavirus-is-drinking-lethal-bleach,,,,,1,https://twitter.com/chiefpolice2/status/1220930150205812742,https://www.youtube.com/watch,,,QAnon-ers’ Magic Cure for Coronavirus: Just Drink Bleach!,28-Jan-20,22-Mar-20,US ,English,,False cures and preventative measures,Some QAnon conspiracy theorists claimed that bleach and 20-20-20 spray are good remedies against the virus,0,False Hope,"Effort to spread false story saying that bleach, 20-20-20 spray are good remedies for the virus. ",Individual actor ,General public (promoters of QAnon conspiracy theory),"Twitter, Youtube, Social Media",Fake remedy,"Coronavirus, remedy, bleach, QAnon conspiracy theory","QAnon conspiracy theory supporters have spread messages on different social media regarding magic remedies against the virus (like, bleach, 20-20-20 spray, etc. ",Luca
18,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/01/28/coronavirus-irrefuehrendes-youtube-video-verbreitet-sich-ueber-whatsapp,,,,,0,,,,,Coronavirus: Irrefuerendes Video verbreitet sich ueber Whatsapp,28-Jan-20,5-Apr-20,Germany ,German,,Nature of the virus,"Video from January criticizing coronavirus reporting, shows videos of people collapsing on streets ",0,Fear,Spread videos that are allegedly from Wuhan of people bleeding in the streets to generate fear of virus,Individual actor,General Public,Youtube,False reporting,"Coronavirus, Germany, Wuhan, video","Article reports on a video (since taken down) allegedly coming from Wuhan, showing, among other things, people collapsing on the streets",Audrey
19,https://www3.nhk.or.jp/news/html/20200128/k10012262601000.html,,,,,1,,,,,??????????? ???????,28-Jan-20,4-Apr-20,Japan,Japanese,,Weaponization or design,Tweets claiming that the People's Liberation Army has been dispatched in Wuhan,0,Other,Spread claim that PLA has been dispatched in Wuhan,Individual actor,Twitter users,"Twitter, Weibo",False reporting,"Coronavirus, Japan, China, People's Liberation Army, PLA, Wuhan",Twitter users spread conspiracy theory that coronavirus is a Chinese bioweapon,Fumika
20,https://www.cyzo.com/2020/01/post_229768_entry.html,,,,,1,https://www.dailymail.co.uk/news/article-7915765/Chinese-food-market-epicentre-deadly-SARS-like-virus-outbreak-selling-live-KOALA.html,,,,?????????????????????????????????????????,28-Jan-20,23-Apr-20,Japan,Japanese,English,Origin of the virus,Wet market in Wuhan where coronavirus originated sells live koalas,0,Politics,Portray Chinese wet markets as inhumane,Media,"Daily Mail, Yahoo! News, others","News websites, Twitter",False reporting,"Coronavirus, koala, wet market, Wuhan",Daily Mail reported that the wet market in Wuhan where coronavirus originated sells live koalas,Fumika
21,https://euvsdisinfo.eu/report/coronavirus-is-a-western-tool-to-attack-chinese-economy/,,,,,0,https://web.archive.org/web/20200210111125/https://sputnik.by/video/20200128/1043803830/Belyakov-koronavirus--zoochelovecheskaya-mutatsiya-ili-rukotvornaya-pandemiya.html,https://sputnik.by/video/20200128/1043803830/Belyakov-koronavirus--zoochelovecheskaya-mutatsiya-ili-rukotvornaya-pandemiya.html,,,Coronavirus is a Western tool to attack Chinese economy,28-Jan-20,25-Mar-20,Belarus,Russian,,Weaponization or design,"Sputnik Belarus explains that the US and the UK, motivated by their national interests regarding US-China and Brexit negotiations, respectively, have likely created corona and are hyping it up to hurt China",0,Undermine target country institutions ,Effort to undermine the US and the UK as being behind the creation of corona,State sponsors,Russia,Internet,Conspiracy,"Coronavirus, invented, US, UK, China, economy",US and UK created and promote corona to hurt China,Justinas
22,https://homeopathyonlinemd.com/homeopathic-treatment-of-coronavirus/,,,,,0,https://homeopathyonlinemd.com/homeopathic-treatment-of-coronavirus/,,,,HOMEOPATHIC TREATMENT OF CORONAVIRUS,29-Jan-20,16-Mar-20,US,English,,False cures and preventative measures,Homeopathic cures using Arsenicum Album 30.,0,Profit,Homeopathy Online trying to profit off of individuals with their dangerous cure.,Companies,Homeopathy Online,Website,Fake remedy,"Coronavirus, homeopathic treatment",Recommending homeopathic treatments for COVID-19.,Jan
23,https://fullfact.org/online/wuhan-5g-coronavirus/,,,,,0,https://www.facebook.com/photo.php,,,,The Wuhan coronavirus has nothing to do with 5G,29-Jan-20,22-Mar-20,UK,English,,Origin of the virus ,"The virus originated in Wuhan because of the presence of 5G, Stynes Robert shared on Facebook",0,Other ,Effort to claim that Covid-19 spread where 5G was introduced,Individual actor,Stynes Robert,Facebook,Conspiracy,"Coronavirus, Wuhan, 5G","A post was shared on Facebook that the virus originated in Wuhan because of the presence of 5G, which harms the immune system of the citizens.  ",Luca
24,https://www.buzzfeed.com/jp/saoriibuki/corona-virus-health-insurance,,,,,1,,,,,??????????????????????“???”?????????????????????????,29-Jan-20,17-Apr-20,Japan,Japanese,,COVID-19 status of individuals,Chinese people are coming to Japan to take advantage of Japanese health insurance,0,Politics,Portray Chinese people as taking advantage of Japanese public goods,Media,Share News Japan,"Twitter, Facebook, tabloid sites",False reporting,"Coronavirus, Japan, China, Chinese, health insurance",Share News Japan published article claiming that Chinese people are coming to Japan to take advantage of Japanese health insurance and driving up costs,Fumika
25,https://www.buzzfeed.com/jp/kotahatachi/noganisarerugaharikoronauirusunisi,,https://www.buzzfeed.com/jp/kotahatachi/noganisarerugaharikoronauirusunisi,,,1,,,,,??????????????????????????????????????????????,29-Jan-20,17-Apr-20,Japan,Japanese,,Other,Japanese Democratic Party created laws during their administration in 2011 that allow foreigners to use Japanese health insurance ,0,Politics,Suggest that Democratic Party is responsible for foreigners taking advantage of Japanese health insurance,Individual actor,General public,Twitter,False reporting,"Coronavirus, Japan, DPP, Democratic party, health insurance, foreigners","Screen shot of Seiji Maehara, former leader of Democratic Party, with text overlay about increasing medical tourism. Accompanyng tweet blaming Democratic government for foreigners taking advantage of Japanese health insurance ",Fumika
26,https://medium.com/dfrlab/bioweapons-secret-labs-and-the-cia-pro-kremlin-actors-blame-the-u-s-for-coronavirus-outbreak-ffc2139c28dd,,,,,0,https://www.youtube.com/watch?v=i_q7N_iBsXk&feature=youtu.be&t=357,,,,"Bioweapons, secret labs, and the CIA: pro-Kremlin actors blame the U.S. for coronavirus outbreak",30-Jan-20,16-Mar-20,Russia,English,,Weaponization or design,COVID-19 is an American biological attack.,0,Undermine target country institutions ,Russian state-sponsored efforts trying to undermine the US administration.,State sponsors,Russia,"News, Websites",Conspiracy,"Coronavirus, pro-Kremlin, US",DFRLab reporting pro-Kremlin actors blaming the US for using COVID-19 as a bioweapon.,Jan
27,https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum,,,,,1,https://twitter.com/Jordan_Sather_/status/1219795721286586368,,,,"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",31-Jan-20,22-Mar-20,US ,English,,Origin of the virus,Jordan Sather tweeting that the virus was created by the Gates Foundation and spread to weaken Trump,0,Politics,Effort to discredit the Bill Gates Foundation and support Trump,Individual actor,Jordan Sather,Twitter,"Conspiracy, False reporting","Coronavirus, patent, Trump","Jordan Sather posted a message on Twitter saying that the outbreak of coronavirus was timed to coincide with the beginning of the Trump presidency. He referred to a coronavirus patent granted to a firm, Pirbright, tied with the Bill & Melissa Gates Foundation. ",Luca
28,https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum,,,,,0,https://www.facebook.com/groups/AlkalineMealIdeas/permalink/539837439964067/,,,,"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",31-Jan-20,22-Mar-20,Ambiguous,English,,False cures and preventative measures,"Anti-vaxxers and natural medicine groups saying that oregano oil, salt water and Vitamin C are good remedies against the virus. ",0,Politics,"Effort to claim that some natural remedies are good to fight the virus, pushing a pro-natural medicine idea. ",Individual actor,General public (anti-vaxxers and natural medicine groups),Facebook,Fake remedy,"Coronavirus, remedies, oregano oil, vitamin C, salt water","Posts were shared by individuals from natural medicine or anti-vaxxers groups claiming that oregano oil, vitamin C and salt water are good remedies against the virus. ",Luca
29,https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum,,,,,1,https://twitter.com/McElstuff/status/1221976522753339393,,,,"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",31-Jan-20,22-Mar-20,Australia,English,,Nature of the virus,An Australian health-related deparment saying that the virus is spread through certain types of food. ,0,Fear ,Spreading fake news saying the virus is spread through certain types of food to create panic and fear among people,Individual actor,General public (Twitter account @McElstuff),Twitter,False reporting,"Coronavirus, Health Department, contaminated food, Australia",This account pretended to write on behalf of a fake health-related department in Australia and warned people of the risk of being infected from certain specific types of food ,Luca
30,https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum,,https://twitter.com/DuncanPeggMP/status/1221614243402792960,,,1,,,,,"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",31-Jan-20,22-Mar-20,Australia,English,,Origin of the virus,Story telling people to stay away from certain Brisbane areas where many Chinese residents live,0,Politics,"Discredit the Chinese population in Brisbane, Australia",Individual actor,General public,"Twitter, Website",False reporting,"Coronavirus, Brisbane, Chinese residents",A warning spread on social media from an account pretending to be the Queensland Health in Australia and telling people to stay away from certain areas in Brisbane where many Chinese residents were living. The MP Duncan Pegg warned on Twitter the news was fake. ,Luca
31,https://www.stern.de/gesundheit/coronavirus--diese-absurden-verschwoerungstheorien-kursieren-9114612.html,,,,,1,,,,,"Kliniken überfüllt, 5G als Ursache, gefährlicher als Sars – die absurden Falschinfos zum Coronavirus",31-Jan-20,6-Apr-20,Germany,German,,Weaponization or design,"Article covers a few fake news topic, the first of which is the theory that Bill Gates has a patent on the virus and predicted it ",0,Other,"Pointing fingers at certain public figures, generating public unease/unhappiness",Individual actor,General public,"Websites, social media",Conspiracy,"Coronavirus, Bill Gates, Germany, Augsburg","Article with headline that Bill Gates predicted 65 million deaths and has a patent on the virus, other fake news also briefly covered, including one headline that says clinics in Augsburg are overfilled although they are not",Audrey
32,https://yomidr.yomiuri.co.jp/article/20200131-OYTET50051/,,,,,1,,,,,??????????????…????????????????????,31-Jan-20,4-Apr-20,Japan,Japanese,,False cures and preventative measures,Tweet claiming that black tea and grean tea prevents coronavirus,0,Other,Spread false claim that green tea and black tea prevent coronavirus,Individual actor,Twitter user,Twitter,Fake remedy,"Coronavirus, Japan, tea, green tea, black tea",Twitter users claiming that green tea and black tea prevent coronavirus ,Fumika
33,https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum,,,,,0,https://www.youtube.com/watch,,,,"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",31-Jan-20,22-Mar-20,"UK, Russia",Mandarin,,Origin of the virus,"Video showing the Chinese celebrity Wang Mengyun eating a bat in a restaurant, the alleged source of the virus",0,Politics,Effort to discredit the Chinese celebrity Wang Mengyun and blame her for the outbreak of the virus,"Individual actor, media","General public, Paul Joseph Watson (Youtuber), Daily Maily, RT",Youtube,False reporting,"Coronavirus, eating bats, Wuhan restaurant ","A video showing  the Chinese celebrity Wang Mengyun eating a bat in a restaurant was shared, claiming she was eating the bat in a restaturan in Wuhan before the outbreak of the virus, and claiming that was the origin of Covid-19. However, the video, even if real, was filmed in 2016 in Micronesia. ",Luca
34,https://matters.news/@bmw330/%E5%85%B3%E4%BA%8E-%E5%8F%B0%E6%B9%BE-%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E6%AD%BB%E4%BA%86%E5%BE%88%E5%A4%9A%E4%BA%BA%E7%9A%84%E8%B0%A3%E8%A8%80-bafyreie5dl4v54zgswwz3prwwgi257z4o2wmubw45wiuojkthnd63duvyy,,https://matters.news/@bmw330/%E5%85%B3%E4%BA%8E-%E5%8F%B0%E6%B9%BE-%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E6%AD%BB%E4%BA%86%E5%BE%88%E5%A4%9A%E4%BA%BA%E7%9A%84%E8%B0%A3%E8%A8%80-bafyreie5dl4v54zgswwz3prwwgi257z4o2wmubw45wiuojkthnd63duvyy,,,1,https://matters.news/@bmw330/%E5%85%B3%E4%BA%8E-%E5%8F%B0%E6%B9%BE-%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E-%E6%AD%BB%E4%BA%86%E5%BE%88%E5%A4%9A%E4%BA%BA%E7%9A%84%E8%B0%A3%E8%A8%80-bafyreie5dl4v54zgswwz3prwwgi257z4o2wmubw45wiuojkthnd63duvyy,,,,?????“????”????????,2-Feb-20,12-Apr-20,Taiwan,Cantonese,,COVID-19 status of individuals,"Claimed the the coronavirus killed a lot of people in Tawan, but a twitter user refuted the claim",1,Undermine target country institutions ,Spread false rumors that the coronavirus is killing a lot of people in Taiwan,Individual actor,"Social media, Twitter user Marco Chu @astmarcochu",Twitter,False reporting,"Coronavirus, kill, a lot, Taiwan","Rumors claimed the coronavirus killed a lot of people in Taiwan, but Twitter user @astmarcochu refuted the claim",Anne
35,https://twitter.com/Woppa1Woppa/status/1220068338732191744,,,,,1,https://twitter.com/Woppa1Woppa/status/1220068338732191744,,,,"Tweet: A woman eating a delicacy, attributing the virus to eating ""bat soup""",3-Feb-20,16-Mar-20,Ambiguous,English,,Origin of the virus,"Twitter user posting a video of a celebrity eating ""bat soup"" from a different year. ",0,Politics,"Twitter user discrediting Chinese-American population, stoking racist sentiment.",Individual actor,General public,Twitter,False reporting,"Coronavirus, Chinese food, bat soup","Video of an individual eating a delicacy, and false claims by a Twitter user attributing COVID-19 to this. ",Jan
36,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-4,,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-4,,,1,,,,,?????????????????????????????????????????????????,3-Feb-20,17-Apr-20,Japan,Japanese,,Emergency responses,Taiwanese mask manufacturers are making masks with Taiwanese flag design to prevent purchase from Chinese people,0,Other,Suggest that Taiwanese mask manufactures are engaging in nationalistic marketing,Individual actor,Blog http://konoyubitomare.jp/,"Blog, Twitter",False reporting,"Coronavirus, Japan, Taiwan, China, mask, flag ",Blog post claimed Taiwanese mask manufacturers making masks with Taiwanese flag design to prevent Chinese people from purchasing. These masks have been in production since 2019,Fumika
37,https://www.liberation.fr/checknews/2020/02/04/cette-video-de-porcs-enterres-vivants-est-elle-liee-au-coronavirus_1777160,,,,,1,https://twitter.com/Dhiyasri1231/status/1224213273014198272,,,,Cette vidéo de porcs enterrés vivants est-elle liée au coronavirus ?,4-Feb-20,11-Apr-20,Ambiguous,English,French,Emergency responses,"Rumors the Chinese government is killing pigs to fight coronavirus, as it started from them",0,Other,Spread false rumor that pigs in China are being killed to fight the virus,Individual actor,Twitter account,Twitter,False reporting,"Coronavirus, pigs, China, kill","Tweets with videos circulated suggesting that the Chinese government is killing pigs to fight coronavirus, as it spread from them, while the videos were old",Giorgio
38,https://observers.france24.com/fr/20200204-chine-medecin-coronavirus-hopital-wuhan-yunnan,,,,,1,https://twitter.com/rulosk_el/status/1220782082542260224,https://www.youtube.com/watch?time_continue=6&v=dm0kaH682lA&feature=emb_logo,,,"Chine : un médecin atteint du coronavirus s’évanouit dans un hôpital de Wuhan ? Attention, intox !",4-Feb-20,15-Apr-20,Ambiguous,English,"Spanish, French",Other,"Videos of a doctor in a Wuhan hospital fainting while performing an operation, supposedly because of coronavirus ",0,Fear,Spread fear by showing the conditions of those affected by coronavirus,Individual actor,General public,"Twitter, YouTube",False reporting,"Coronavirus, doctor, Wuhan, faint","Videos spread of a doctor in Wuhan fainting ""because of coronavirus"", while the hospital had clarified it was because of hypoglicemia",Giorgio
39,https://www.youtube.com/watch?v=rWHn-Xj1v3M,,,,,0,,,,,?????? ?? ???????? ???,4-Feb-20,3-Apr-20,Afghanistan,Farsi,,Other,May God take revenge on the Muslims,,Undermine target country institutions ,Its shows that Chiness government don’t support Muslims ,Individual actor,Parwan Plus,You Tube ,Conspiracy,"Coronavirus, power of God",This is consparency of some Muslims from Afghanistan who want to show that Allah is always with Muslim and Muslim should not fear from The unbeliever ,Shahim
40,https://www.buzzfeed.com/jp/yutochiba/coronavirus-medical-fact-check,,,,,1,https://indeep.jp/found-hiv-in-wuhan-coronavirus/,,,,?????????????????????????????????????????????????????,4-Feb-20,3-Apr-20,Japan,Japanese,,Nature of the virus,Blog posts claiming Indian scientists found proteins from AIDS virus inserted in coronavirus,0,Fear,Spread claim that AIDS virus and coronavirus are structurally similar,Individual actor,Blogger ,"Personal blog, Twitter, Facebook",False reporting,"Coronavirus, Japan, India, AIDS, protein, ?????????????????tanpakushitsu, eizu, indo",A blogger posted that Indian scientists found AIDS virus proteins inserted into coronavirus ,Fumika
